forum,n_posts,n_threads,n_users,n_tokens,procent_postow,procent_tokenow
wiara.pl,968184,25007,15124,102964896,58.4,58.63
radiokatolik.pl,377768,4368,3941,40533761,22.79,23.08
Z Chrystusem,278182,7628,2030,29178569,16.78,16.61
Dolina Modlitwy,33819,1715,476,2951407,2.04,1.68
RAZEM,1657953,38718,21571,175628633,100,100
